name	life_expectancy	avg_income
jefferson county	80.18	34900
jefferson county	80.44	42320
jerome county	78.26	38184
jersey county	78.17	41522
johnson county	78.09	35956
johnson county	78.26	36777
johnson county	79.37	37179
johnston county	77.82	39922
jones county	77.92	37618
jones county	80.75	43652
juab county	77.79	36087
juneau county	78.06	37898
kalkaska county	77.85	34623
kanabec county	80.04	42509
kane county	79.08	40257
kimball county	78.34	44069
kimble county	77.98	43309
kingman county	78.63	42572
kings county	79.21	35306
kinney county	79.7	30431
kit carson county	79.52	37274
kittitas county	80.98	42603
knox county	78.21	42162
koochiching county	79.3	41890
la paz county	80.68	30948
lafayette county	80.72	43042
lagrange county	79.74	42146
lake county	78.33	39797
lake county	78.34	39365
lake county	79.03	42190
lake county	80.11	37106
lamar county	77.9	40529
langlade county	79.47	43223
lapeer county	78.64	43679
lassen county	78.94	37844
latah county	81.01	41341
lawrence county	78.21	43929
leavenworth county	78.92	42851
lee county	78.23	41788
lemhi county	79.39	41565
lenawee county	78.69	39600
lewis county	78.07	43453
lewis county	80.12	43971
lexington city	80.26	40320
liberty county	81.23	40956
lincoln county	78.14	44119
lincoln county	78.4	34821
lincoln county	79.2	41574
lincoln county	79.69	28828
lincoln county	79.97	41793
lincoln county	80.03	43049
linn county	77.93	42891
live oak county	79.44	35636
livingston county	77.92	39805
logan county	78.46	43169
logan county	78.52	38339
logan county	79.21	37603
louisa county	78.37	42476
louisa county	79.3	41038
lucas county	79.19	42126
luce county	78.65	31827
lycoming county	78.68	43823
lyon county	78.91	38297
macon county	78.35	40057
macoupin county	78.02	41607
madera county	79.35	39897
madison county	77.89	34036
madison county	81.09	26407
mahaska county	80.12	43914
major county	77.81	43762
malheur county	78.41	30992
manistee county	78.87	38814
marinette county	78.9	44014
marion county	78.97	43042
marion county	79.35	41410
marquette county	78.98	41182
marquette county	79.31	40036
marshall county	79.06	41329
mason county	78.45	42767
mason county	78.73	41667
maverick county	79.18	30505
mccone county	79.44	42209
mcdonough county	79.6	38692
mcintosh county	78.08	29519
mcpherson county	81.16	38625
meade county	79.22	43015
mecosta county	79.19	34252
medina county	78.7	39403
meeker county	80.63	43944
menard county	77.87	35311
menominee county	79.74	43594
merced county	78.92	38519
mercer county	78.58	43024
mercer county	78.92	32388
miami county	77.83	35039
mifflin county	79.04	39738
millard county	79.28	35196
mille lacs county	78.72	41582
mills county	78.52	37153
mineral county	77.84	39957
minidoka county	78.61	38159
missaukee county	78.49	34972
moffat county	78.46	42130
moniteau county	78.16	37533
monroe county	77.84	43833
monroe county	78.35	42672
monroe county	78.51	41779
monroe county	79.09	42722
monroe county	80.21	42212
montcalm county	77.78	34972
montgomery county	77.84	37717
montgomery county	77.94	40056
montgomery county	78.21	42280
montgomery county	78.77	41628
montgomery county	79.38	37759
montrose county	79.59	39930
moore county	79.03	41276
mora county	78.75	35534
morgan county	78.36	41359
morris county	79.85	42424
morrison county	80.28	42568
morrow county	78.24	38666
morrow county	79.26	39095
morton county	77.79	43644
motley county	77.87	28938
nance county	78.45	38000
newaygo county	78.1	38037
newport news city	78.26	43501
noble county	81.05	27211
nodaway county	79.88	31013
northumberland county	78.27	41712
norton county	79.46	42080
oceana county	78.86	37950
oglethorpe county	77.93	37709
ohio county	78.27	40714
okanogan county	78.24	42462
oktibbeha county	77.93	34367
oneida county	80.21	35234
ontonagon county	78.4	40129
orleans county	78.67	38963
orleans county	79.35	43542
osage county	77.93	34971
osceola county	78.21	36023
osceola county	79.24	33346
oswego county	78.3	40538
otero county	78	34636
otsego county	79.21	40589
otsego county	80.14	43522
ottawa county	78.15	41201
owyhee county	78.7	33372
oxford county	78.47	37999
page county	78.76	41629
pamlico county	78.26	43532
parke county	78.02	36345
paulding county	78.27	37727
paulding county	78.35	41032
pawnee county	78.82	39223
payette county	78.51	38933
payne county	78.42	37159
pecos county	78.24	36584
pender county	78.11	35914
pendleton county	79.34	35140
penobscot county	78.64	42053
perkins county	79.22	42195
perquimans county	77.92	40781
perry county	78.63	41321
pershing county	78.36	32592
petroleum county	79.24	35772
pettis county	78.05	37763
phillips county	78.73	39172
pike county	78.53	42768
pima county	79.46	44028
pinal county	80.17	30644
pine county	79.3	37067
piscataquis county	78.03	38427
piute county	78.37	33716
polk county	77.96	35463
polk county	80.49	41379
pondera county	78.88	42363
pope county	77.98	30306
portage county	78.88	44055
potter county	78.84	42819
powder river county	79.64	32479
power county	78.37	36667
presidio county	83.72	42848
presque isle county	79.7	39004
prince george county	79.41	38779
prince of wales-hyder census area	78.19	43707
putnam county	78.36	37479
radford city	77.85	37759
ralls county	79.2	40698
randolph county	77.81	38491
reno county	78.4	41111
rice county	81.12	44096
rich county	81.1	35436
richland county	77.81	39234
richland county	78.09	42555
richland county	80.63	43233
riley county	81.46	42566
ripley county	77.86	41817
riverside county	80.21	40637
rockbridge county	79.28	40320
rockdale county	78.22	35244
rockingham county	80.62	39721
rooks county	78.51	42363
roosevelt county	77.91	39446
rutherford county	78.03	41031
saguache county	79.75	30172
saline county	77.91	41397
saline county	79.27	43763
san bernardino county	78.65	40316
san juan county	79.02	26638
san juan county	79.89	44029
san saba county	78.47	41233
sanders county	78.34	34896
sandoval county	79.5	41547
sandusky county	78.08	41624
sanilac county	78.27	38004
sanpete county	79.16	29209
santa cruz county	81.97	39057
schleicher county	78.15	40136
schoharie county	80.29	40791
schoolcraft county	78.61	39948
schuyler county	78.06	29013
schuyler county	79.18	42063
scotland county	78.07	33262
scott county	78.07	43409
scott county	78.78	42720
scotts bluff county	78.09	44171
seneca county	78.15	39681
seneca county	79.2	38593
sevier county	77.95	34117
seward county	78.38	38621
shawano county	79.51	42290
shelby county	77.96	40356
shelby county	79.85	41512
sheridan county	82.44	35497
shiawassee county	77.88	39435
sioux county	82.57	42404
snyder county	80.31	42449
somerset county	78.05	38142
somerset county	78.56	42179
spencer county	78.99	43971
st. lawrence county	78.74	37940
st. lucie county	79.12	39374
stanislaus county	78.25	44120
stark county	78.31	42877
starr county	79.11	26316
ste. genevieve county	78.35	41822
stephenson county	79.68	42722
steuben county	78.85	43231
stevens county	78.13	39505
stevens county	79	38970
stone county	78.64	38900
story county	82.12	41885
swisher county	77.92	41977
taney county	78.06	35956
taos county	79.98	38455
taylor county	79.72	41585
taylor county	81.54	39051
teton county	82.11	39858
throckmorton county	77.91	35941
tioga county	79.23	41039
tippecanoe county	79.14	39169
todd county	80.71	42005
tooele county	78.21	36836
towns county	78.24	37858
transylvania county	80.33	42070
tulare county	78.3	40420
tuscarawas county	78.87	43358
tuscola county	78.08	37979
twin falls county	78.04	39623
uintah county	77.99	31563
umatilla county	78.47	39684
union county	78.44	36581
union county	78.67	40494
union county	79.37	40547
union county	81.3	41246
utah county	80.75	40919
uvalde county	78.43	39458
val verde county	79.53	36554
van buren county	78.65	41378
van wert county	78.82	42638
venango county	77.96	42223
vernon county	80.02	40356
wabash county	77.87	43820
wabash county	78.37	43571
wadena county	78.83	39746
wahkiakum county	78.93	42423
waldo county	79.34	40912
waller county	77.95	39995
warren county	78.39	41274
warren county	78.49	42875
warren county	78.64	41674
wasco county	77.84	43658
washington county	77.76	37824
washington county	78.11	40247
washington county	78.71	36225
washington county	79.13	40043
washington county	81.36	38847
watauga county	80.7	36684
watonwan county	80.84	42979
waushara county	79.22	41204
wayne county	77.79	41164
wayne county	77.97	43996
wayne county	78.39	43981
wayne county	78.85	44039
wayne county	79.47	39096
webb county	79.69	31635
weber county	78.8	41853
webster county	77.87	33109
wells county	79.52	42730
wexford county	77.83	36454
wheatland county	79.63	35934
wheeler county	79.49	37142
white county	78.14	34961
white county	78.25	43852
whiteside county	78.92	44016
whitman county	81.4	40935
willacy county	79.62	28593
williams county	78.92	41712
winnebago county	77.95	43742
woodbury county	78.35	43988
worth county	78.7	35573
worth county	79.74	42321
wyoming county	79.31	39801
yakima county	78.44	43379
yancey county	78.08	36715
yates county	79.54	39402
yavapai county	79.02	40312
yuma county	80.68	35682
zapata county	79.21	28294
zavala county	77.86	29202
